year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,20.98,,,,,
2011,19.1,,,,,
2012,17.83,,,,,
2013,15.5,,,,,
2014,14.51,,,,,
2015,13.42,,,,,
2016,12.57,,,,,
2017,11.79,,,,,
2018,11.12,,,,,
2019,10.76,,,,,
2020,11.41,,,,,
2021,11.33,,,,,
2022,10.89,,,,,
2023,10.62,,,,,
2024,10.4,,,,,
2025,10.2,,,,,
2026,9.98,9.98,9.98,9.98,9.98,9.98
2027,,9.59,9.7,9.54,9.39,9.48
2028,,9.43,9.61,9.31,9.04,9.18
2029,,9.29,9.52,9.09,8.67,8.88
2030,,9.15,9.44,8.87,8.31,8.56
2031,,9.03,9.34,8.6,7.97,8.27
2032,,9.14,9.25,8.37,7.65,7.99
2033,,9.23,9.15,8.16,7.34,7.71
2034,,9.35,9.04,7.94,7.05,7.45
2035,,9.46,8.95,7.72,6.74,7.19
2036,,9.56,8.85,7.53,6.45,6.93
2037,,9.69,8.76,7.31,6.21,6.7
2038,,9.82,8.66,7.08,5.94,6.43
2039,,9.95,8.57,6.88,5.72,6.2
2040,,10.08,8.45,6.69,5.49,5.99
2041,,10.22,8.37,6.48,5.29,5.77
2042,,10.35,8.28,6.3,5.11,5.56
2043,,10.47,8.18,6.12,4.94,5.37
2044,,10.58,8.07,5.94,4.76,5.15
2045,,10.71,7.97,5.77,4.58,4.95
2046,,10.84,7.87,5.59,4.43,4.76
2047,,10.99,7.78,5.43,4.27,4.55
2048,,11.11,7.69,5.29,4.11,4.38
2049,,11.23,7.59,5.14,3.99,4.2
2050,,11.37,7.48,4.99,3.86,4.03
