perc,1990–2000,1990–2008,1990–2010,1990–2019,1990–2026,2000–2010,2010–2019,2019–2026
1,NA,NA,NA,NA,NA,NA,NA,NA
2,1.0132227763418236,2.443691209688717,2.528898489992924,2.0635968037757926,1.5943254234789157,4.044574203644025,1.0295930566266118,-0.3497988663224327
3,1.3693006576233397,2.6134532970099067,2.758423666198473,2.403786565827998,1.8720271952982714,4.147546674773606,1.615704120560276,-0.3309759111820246
4,1.4364791452257946,2.6723977652368003,2.7911634459589507,2.5910429360854788,2.0206004640126696,4.145847746692107,2.146330691922207,-0.3426612060032519
5,1.5602240928645876,2.730339643412298,2.829578513173514,2.716092914339827,2.144712033171837,4.098932933482442,2.4639026947094105,-0.2224373316669754
6,1.6724331019783545,2.7668241837080494,2.8485306244008552,2.803905046724514,2.237529554533601,4.024628146823355,2.7047370963326456,-0.10888319882875343
7,1.7836745914696763,2.7884646668807593,2.862123415800216,2.8698380270887394,2.311585461415562,3.940572240130754,2.8869816077299024,-0.0011751678018858953
8,1.8918125795137595,2.797222141575633,2.8654278427529274,2.915051738908523,2.3753230934115397,3.8390431059920944,3.0253270636987373,0.13930441920975062
9,1.9714327041750694,2.804567312742078,2.866793512693694,2.9498674344747866,2.429109387157188,3.7621543212123187,3.1344761495438807,0.2716831911271369
10,2.0287918271469,2.8043174472129104,2.862255197884753,2.9732427039330753,2.4799675870911284,3.6957185686226053,3.2198816062626805,0.4363992458887763
11,2.0712638484579915,2.797360889881896,2.856125349552992,2.9901510224475745,2.5253784665071484,3.640986850647994,3.2879858511022015,0.5998921633253868
12,2.08789981599238,2.776818709994754,2.8394289268910544,3.0016798633657586,2.56256951175384,3.5909580377897288,3.3622374999762124,0.743398055075892
13,2.1089311057153832,2.7697752005417775,2.831181193132723,3.0144585707759552,2.5958216660346776,3.5534312805500616,3.4217416322053587,0.8614687749636727
14,2.130543520259882,2.7657874536576794,2.828682269614139,3.019504823957373,2.625428355034014,3.5268210189683944,3.443554944720115,0.9928258409229584
15,2.146466757189232,2.754034293313236,2.822377567316028,3.0229605661013736,2.6523770127441377,3.4982883774428237,3.4687005634021437,1.1171022916927278
16,2.150016539984489,2.7360185700054926,2.8130697064630623,3.025239821911822,2.673518549763776,3.4761228729416347,3.4967289673535094,1.2163875651504443
17,2.1520556219757894,2.7173824194646445,2.8021766236565373,3.0251092990228363,2.693769098317837,3.452297625337285,3.5205152442812775,1.3210739811114107
18,2.1574796779420398,2.7017999048775767,2.7898699301571273,3.026598652793743,2.7109936181057193,3.422260182372215,3.55266248087511,1.4034870458267665
19,2.151821318264765,2.6862217345922437,2.7772726986216365,3.0243921352058787,2.7231464908021934,3.4027240789785083,3.5735464387264146,1.4751288211297842
20,2.141772113656109,2.6713906082252477,2.765540783696275,3.0221218535218095,2.734687770366458,3.3893094537364417,3.592302008689665,1.5438894258657176
21,2.1237563115407236,2.655735841387686,2.7525958968834217,3.0168464665728845,2.7443451881256395,3.3814354822261192,3.6040699547716915,1.6154113202727665
22,2.100257619860291,2.639339486161015,2.739114331580738,3.0100603232107397,2.749796222000591,3.377971043301186,3.612162526832964,1.6715592312728333
23,2.0782274956956517,2.6202843822705497,2.7245510088090907,3.004169789714535,2.7526767298334693,3.37087452192253,3.6255448583933028,1.7107769103261954
24,2.0460684664865116,2.598169011078867,2.7055969531837016,2.9947525462699924,2.754145314239088,3.365125439880892,3.637320530906195,1.7573439243967692
25,2.011525800376692,2.5829775139878404,2.688405021326721,2.985524312854237,2.7547150355353445,3.3652842422767506,3.6457894051376045,1.7985051723570744
26,1.9821508102399295,2.5648471543990508,2.6726903542431746,2.977187997858521,2.7569284722189265,3.3632298982464186,3.6538494281148477,1.8444247231406066
27,1.9528551544453174,2.5422385934143046,2.65507494777334,2.9688986031289524,2.756868896211277,3.357294741101363,3.666284503919204,1.878460110409482
28,1.930234377816933,2.5275876018205374,2.644718521554911,2.963863146542918,2.7559651170079738,3.359202665292887,3.673073424294046,1.8946732803632036
29,1.9098242164918307,2.515216205415433,2.6372469498478295,2.959991430205711,2.7555151242745675,3.3646696832038283,3.67720138655656,1.9083989997026873
30,1.8775687900254183,2.4994745718047238,2.6274013595789114,2.9543567752494346,2.7526385887146096,3.377233929132404,3.6809243656283757,1.9169489587846196
