year,Low-income,Lower-middle-income,Upper-middle-income,High-income,poverty line in 2021 PPP US$ (per capita per day)
1990,0.0019518710825123739,0.0048481158536310956,0.005910626814501761,0.006254230405440909,0.5
1990,0.008304340273029686,0.018757023899495538,0.053874979906442806,0.054078410523561826,1
1990,0.008591354353228022,0.030550302513642876,0.09877937704182853,0.098999253697539355,1.5
1990,0.007042682371590023,0.04257278487748878,0.10539105835312908,0.10565271295947612,2
1990,0.00526614475176867,0.04719960348125306,0.0920955678566755,0.09270114418926047,2.5
1990,0.003816096640738017,0.04347865261682053,0.0754015701976692,0.0764341582012475,3
1990,0.0028760114252915528,0.035833002274440695,0.05974321204582654,0.060700154031455185,3.5
1990,0.002296164506226501,0.027459694183666637,0.044968277625687406,0.04615202671058847,4
1990,0.001876196394991452,0.019798875369390474,0.033831851212660566,0.03496863383432515,4.5
1990,0.0016179269346413177,0.014810307884700969,0.026401347431412137,0.027588197691620957,5
1990,0.001356927195172157,0.01134571169680595,0.021163241646914917,0.022456516579544727,5.5
1990,0.0011472953458693059,0.008708726642342112,0.01718502940304566,0.01855189955064822,6
1990,9.937756578746917e-4,0.006965314136807852,0.014583995551520918,0.01597489988794279,6.5
1990,8.640580174275679e-4,0.005591471362772021,0.012118751950257332,0.013577266397102225,7
1990,7.615201099253955e-4,0.00468858361094536,0.01093626496679945,0.012451413288556626,7.5
1990,6.512735811265963e-4,0.0037629198224329416,0.009209589638456413,0.010853343965302844,8
1990,5.539454097398097e-4,0.0032073215074984,0.008364812185244434,0.009991347661455431,8.5
1990,5.086420630235711e-4,0.002617813118950198,0.0072173540478651455,0.008887227798327148,9
1990,4.488345181452738e-4,0.002404016586150807,0.006390169365751664,0.008151931008505395,9.5
1990,3.569316297373574e-4,0.0020141994281767882,0.005742432903130357,0.0076279488287422145,10
1990,3.289498088332339e-4,0.0016859778112118834,0.004960283429421552,0.006764036670870164,10.5
1990,3.0629813838567e-4,0.0015510530543660197,0.004718440964592978,0.006676485301665834,11
1990,2.453271677955961e-4,0.0013862104258029868,0.004060908026659772,0.00611212598315867,11.5
1990,2.2375864916495512e-4,0.0010984646680515515,0.0035345953082858406,0.005527557334620873,12
1990,2.0519380108519235e-4,0.0010390128066305284,0.0033817732596828796,0.005446656975102074,12.5
1990,1.7919250289604856e-4,8.813052959065567e-4,0.00288612751129471,0.004962113461002058,13
1990,1.588685305176855e-4,8.046161975286112e-4,0.0027626206835522408,0.0049075664932230045,13.5
1990,1.3224330532765662e-4,7.904071394988878e-4,0.002694038909873125,0.004851285278278663,14
1990,1.0826864335325285e-4,4.698040095787244e-4,0.0021744975402680166,0.0043823452826036256,14.5
1990,1.0858531652501738e-4,6.609438918926058e-4,0.0021720420226360344,0.004402831217365238,15
1990,9.432804429097399e-5,3.8592013441558163e-4,0.0018673395845441225,0.004060249017801574,15.5
1990,9.297682827323377e-5,6.045714184853562e-4,0.0017672666973394956,0.0040585729122088535,16
1990,7.932972684387473e-5,3.382981970776554e-4,0.00155305812569134,0.003839049613725286,16.5
1990,6.104331469046519e-5,3.5518117859628824e-4,0.0014249189001912482,0.0036581865743480777,17
1990,6.772883119017006e-5,4.678184532676757e-4,0.0014805810345846502,0.003781789337608139,17.5
1990,5.644007708385224e-5,2.451922222087233e-4,0.0012674072905387444,0.0035662695404257232,18
1990,4.4964252282040526e-5,2.5281777382313417e-4,0.001084558355757814,0.003362246446737808,18.5
1990,5.540116802141106e-5,2.2812689253213136e-4,0.0010535873344209219,0.0033923614187909923,19
1990,4.4372589261563956e-5,2.142246051279223e-4,0.0010561956918700719,0.0032648076729003225,19.5
1990,4.5311332791646556e-5,3.845184317754135e-4,0.0010591771923957908,0.0032689192726452483,20
1990,3.631113281055674e-5,1.95169985237662e-4,8.513364580295781e-4,0.0031304329854347037,20.5
1990,2.9245369992904582e-5,1.5930029083488002e-4,8.695204084334649e-4,0.0031484537669689114,21
1990,2.9548306824272636e-5,1.3229930843622911e-4,7.534354715391171e-4,0.002851708972137128,21.5
1990,3.170843875482601e-5,1.419493855431356e-4,6.53726573293453e-4,0.002842459177310186,22
1990,2.7536621929174727e-5,1.6857057721538066e-4,7.189367544673501e-4,0.0028004445346465484,22.5
1990,1.5818497967508103e-5,1.2170043005199177e-4,6.634398460086759e-4,0.002764052692883843,23
1990,2.0803348494303795e-5,1.0931034483378975e-4,5.66723758705848e-4,0.0025994829849429507,23.5
1990,2.984167109878703e-5,1.2688826176344693e-4,5.668510496899009e-4,0.002669138156599612,24
1990,1.8187727953440176e-5,9.502429498703543e-5,6.005510915041508e-4,0.0026414713976214985,24.5
1990,1.5336286038744167e-5,9.035126219278536e-5,4.897152667850348e-4,0.002477925544286409,25
