Country,Sub-Saharan Africa,South Asia,East Asia and Pacific,Latin America and the Caribbean,"Middle East, North Africa, Afghanistan and Pakistan",North America,Europe and Central Asia
Prosperity Gap share,40.94,20.64,16.34,5.44,12.36,1.2,3.09
Population share,16.36,20.62,28.88,8.1,10.15,4.65,11.24
