year,Low-income,Lower-middle-income,Upper-middle-income,High-income,poverty line in 2017 PPP US$ (per capita per day)
1990,0,0,0,0,0.001
1990,0,0,0,0,0.01
1990,0.0028193541917676964,0.003621047375475788,0.0012336160382487437,3.9173219053506743e-4,0.5
1990,0.008888744217182571,0.019090668013206843,0.04767836475225158,1.5657691597939592e-4,1
1990,0.00863823621992404,0.05187374283981744,0.07303278940440563,1.496497020346809e-4,1.5
1990,0.006383237947850701,0.05883652936105954,0.057065358133369215,5.278166792053693e-4,2
1990,0.004464634305533448,0.04843426348048491,0.038340559248606826,0.0010335857492088435,2.5
1990,0.0031524632159589255,0.03464048576014281,0.026654197967058063,0.0011058427247917749,3
1990,0.0023328616807601343,0.023697538218192787,0.018519816509527387,0.0011797710821676638,3.5
1990,0.0017924279287258593,0.016818717318109827,0.014106693747122867,0.0011624712146474456,4
1990,0.0014023730051731034,0.012281641734164683,0.01110564386565377,0.0011785117760346273,4.5
1990,0.0010559793030082976,0.009194054764547432,0.009303466645929626,0.0014577868434320126,5
1990,8.07991610608412e-4,0.007091834293040888,0.008095905753147725,0.0014731476517162011,5.5
1990,6.701445590050897e-4,0.005478806446040818,0.007120113759608138,0.001729836402606804,6
1990,5.241015358476986e-4,0.004370594656752935,0.006366321220902471,0.0015278011130597114,6.5
1990,4.4332674724631427e-4,0.0036135441637968335,0.005753921803115569,0.0016807621349774638,7
1990,3.433610699321993e-4,0.00281927773699836,0.005263965352761246,0.0016171696022061512,7.5
1990,2.921860014047442e-4,0.0023626649785964404,0.00482704608432688,0.0018404076062351477,8
1990,2.5552809769467666e-4,0.001968632164128792,0.0041517527334549165,0.0019335565330737547,8.5
1990,2.0541757315756248e-4,0.0017251229017277159,0.003796460941247304,0.001970128529612959,9
1990,1.7308063122174755e-4,0.0014574870639542659,0.0034769710791036634,0.001989787683769239,9.5
1990,1.4746281355175472e-4,0.0012087293152522327,0.003050166346008354,0.0021820998339011043,10
1990,1.1564450159190498e-4,0.0010678139757441252,0.002772064649294248,0.002174221617483256,10.5
1990,1.1020206531470178e-4,9.243664069978341e-4,0.002535733849727162,0.00219564333743974,11
1990,9.889808676971645e-5,8.24930558848247e-4,0.0021737985245094404,0.002042600225876167,11.5
1990,6.796570106717276e-5,6.875064265249309e-4,0.002092782806593252,0.0024500722771885752,12
1990,7.329988828511103e-5,6.347138828977639e-4,0.0019034123154825777,0.002204518966644947,12.5
1990,5.82456336861506e-5,5.352827890837686e-4,0.00173886837127335,0.002506885776252625,13
1990,4.915830451201336e-5,4.8684454288522305e-4,0.001533743232385587,0.002485841202336102,13.5
1990,4.716259141515633e-5,4.245495431766666e-4,0.001437042234345487,0.0023903091887017003,14
1990,4.188578258478709e-5,3.9433626647600306e-4,0.0012982555855873268,0.0024532647979988234,14.5
1990,3.514413524280391e-5,3.2721214801567644e-4,0.0011911307536019988,0.002471480862877025,15
1990,3.3295017148632366e-05,3.2001688849514487e-4,0.0010791647299527307,0.0025054499253119172,15.5
1990,2.9724130810433735e-5,2.7048214239927537e-4,0.0010872815990822793,0.0024769109488532934,16
1990,2.648070748748066e-5,2.2335735845502303e-4,9.179417128226119e-4,0.00249166972177374,16.5
1990,2.085941156651505e-5,2.1853435626140172e-4,8.505289191517718e-4,0.0026055401290097716,17
1990,2.0489100876035227e-5,2.1938652424602356e-4,7.479809406757965e-4,0.002325905939591262,17.5
1990,2.0580219334959127e-5,1.8162756735073948e-4,7.866499838573571e-4,0.0023651159667618243,18
1990,1.6865467622168007e-5,1.6691160489096246e-4,7.266230855608735e-4,0.00232636670429108,18.5
1990,1.7495506282459716e-5,1.5494242502500644e-4,6.371853141807771e-4,0.0024952781620507375,19
1990,1.7211270864930794e-5,1.4845836373844623e-4,6.362215843301877e-4,0.0022020746865275137,19.5
1990,1.3381848440477406e-5,1.4084929505170374e-4,5.796446385667453e-4,0.002419184602976021,20
1990,1.1605217132511225e-5,1.2832504321758087e-4,4.983978955741541e-4,0.0022557919288261896,20.5
1990,1.1819496438879307e-5,1.1272454617194949e-4,4.72478910305385e-4,0.002464463888393692,21
1990,1.0679311375404177e-5,1.0431079443207203e-4,5.073849791100149e-4,0.0022313756099121007,21.5
1990,7.13013631505055e-6,9.02319222302328e-5,4.377410586138275e-4,0.0022518704633373715,22
1990,8.809355712437184e-6,9.929414652110058e-5,4.370753320570575e-4,0.0020951823297583883,22.5
1990,7.949266969300983e-6,8.279151741125146e-5,4.025470512958873e-4,0.0022098258968883677,23
1990,6.5595665662970815e-6,7.810976041722206e-5,4.0690490361450227e-4,0.00237000762550843,23.5
1990,5.937686209919746e-6,7.570209294632813e-5,3.359901716210034e-4,0.002092989199992082,24
1990,6.765272135139666e-6,7.22058499095235e-5,3.3208072631318863e-4,0.002262384119808225,24.5
1990,8.737167993912165e-6,6.301263638069932e-5,3.121220948775205e-4,0.002010820391909779,25
